# energy s p d
-1.891659999999999897e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.891329999999999956e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.890990000000000038e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.890660000000000096e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.890330000000000155e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.889989999999999881e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.889659999999999940e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.889329999999999998e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.888990000000000080e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.888660000000000139e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.888329999999999842e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.887989999999999924e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.887659999999999982e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.887330000000000041e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.886990000000000123e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.886659999999999826e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.886329999999999885e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.885989999999999966e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.885660000000000025e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.885330000000000084e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.884989999999999810e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.884659999999999869e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.884329999999999927e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.883990000000000009e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.883660000000000068e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.883330000000000126e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.882989999999999853e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.882659999999999911e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.882329999999999970e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.881990000000000052e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.881660000000000110e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.881329999999999814e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
